"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","cantidad","delito"
"VALLE","Cali (CT)","76001000","NO REPORTADO","01/01/2010","MASCULINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"ATLÁNTICO","Baranoa","08078001","NO REPORTADO","10/01/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","06/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210 A. ACOSO SEXUAL"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","06/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210 A. ACOSO SEXUAL"
"HUILA","Pitalito","41551000","NO REPORTADO","05/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"TOLIMA","Melgar","73449000","NO REPORTADO","03/02/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"META","Villavicencio (CT)","50001000","NO REPORTADO","10/01/2010","FEMENINO","MENORES","1","ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN)"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","01/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","01/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN)"
"VALLE","Dagua","76233000","NO REPORTADO","11/02/2010","FEMENINO","MENORES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
"GUAJIRA","Dibulla","44090000","NO REPORTADO","08/02/2010","MASCULINO","MENORES","1","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS"
"CAUCA","Timbío","19807000","NO REPORTADO","13/02/2010","MASCULINO","ADOLESCENTES","1","ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN"
"MAGDALENA","Zona Bananera","47980008","NO REPORTADO","04/02/2010","FEMENINO","ADULTOS","1","ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN)"
"RISARALDA","Pereira (CT)","66001000","NO REPORTADO","24/01/2010","FEMENINO","ADULTOS","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"ANTIOQUIA","Caldas","05129000","NO REPORTADO","28/01/2010","FEMENINO","MENORES","1","ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR"
"CÓRDOBA","Montería (CT)","23001000","NO REPORTADO","22/01/2010","FEMENINO","ADOLESCENTES","1","ARTÍCULO 206. ACTO SEXUAL VIOLENTO"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","24/01/2010","MASCULINO","ADOLESCENTES","1","ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS"
