"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","tipo_de_hurto","cantidad"
"CHOCÓ","Quibdó (CT)","27001000","NO REPORTADO","28/11/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Puerto Berrío","05579000","NO REPORTADO","04/12/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"SANTANDER","Cimitarra","68190000","NO REPORTADO","22/05/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"VALLE","Guadalajara de Buga","76111000","NO REPORTADO","10/10/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"CHOCÓ","Quibdó (CT)","27001000","NO REPORTADO","28/11/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","26/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Bello","05088000","NO REPORTADO","13/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOYACÁ","Puerto Boyacá","15572000","NO REPORTADO","17/04/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","02/07/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","26/03/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CHOCÓ","Quibdó (CT)","27001000","NO REPORTADO","26/11/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","13/07/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","13/07/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","12/07/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"VALLE","Guadalajara de Buga","76111000","NO REPORTADO","10/10/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"CALDAS","Manizales (CT)","17001000","NO REPORTADO","08/02/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"META","Villavicencio (CT)","50001000","NO REPORTADO","15/03/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","22/10/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","27/09/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","25/05/2013","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","04/09/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","03/10/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CHOCÓ","Quibdó (CT)","27001000","NO REPORTADO","27/11/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Medellín (CT)","05001000","NO REPORTADO","02/07/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CÓRDOBA","Cereté","23162000","NO REPORTADO","16/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CÓRDOBA","Montelíbano","23466000","NO REPORTADO","13/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOYACÁ","Puerto Boyacá","15572000","NO REPORTADO","09/04/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","27/03/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CUNDINAMARCA","Soacha","25754000","NO REPORTADO","15/02/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Caldas","05129000","NO REPORTADO","01/02/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","13/08/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"QUINDÍO","Armenia (CT)","63001000","NO REPORTADO","14/12/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"CÓRDOBA","Chimá","23168000","NO REPORTADO","02/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
