departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,FECHA,ANO,MES
CUNDINAMARCA,MADRID,25430000,NO REPORTADO,23/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-23,2024,3
MAGDALENA,EL BANCO,47245000,ARMA BLANCA / CORTOPUNZANTE,23/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-23,2024,3
NARIÑO,CUASPUD,52224000,NO REPORTADO,23/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-23,2024,3
NORTE DE SANTANDER,CÚCUTA,54001000,ARMA BLANCA / CORTOPUNZANTE,23/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-23,2024,3
ANTIOQUIA,MEDELLÍN,05001000,ARMA BLANCA / CORTOPUNZANTE,24/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-24,2024,3
ANTIOQUIA,MEDELLÍN,05001000,NO REPORTADO,24/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-24,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,24/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-24,2024,3
CESAR,VALLEDUPAR,20001000,ARMA BLANCA / CORTOPUNZANTE,24/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-24,2024,3
ATLÁNTICO,PUERTO COLOMBIA,08573000,ARMA BLANCA / CORTOPUNZANTE,25/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-25,2024,3
CASANARE,YOPAL,85001000,ARMA BLANCA / CORTOPUNZANTE,25/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-25,2024,3
VALLE,CALI,76001000,ARMA BLANCA / CORTOPUNZANTE,25/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-25,2024,3
ANTIOQUIA,ITAGUI,05360000,NO REPORTADO,26/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-26,2024,3
CHOCÓ,QUIBDÓ,27001000,ARMA BLANCA / CORTOPUNZANTE,26/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-26,2024,3
TOLIMA,FLANDES,73275000,ARMA BLANCA / CORTOPUNZANTE,26/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-26,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,27/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-27,2024,3
HUILA,GUADALUPE,41319000,ARMA BLANCA / CORTOPUNZANTE,27/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-27,2024,3
ANTIOQUIA,BELLO,05088000,NO REPORTADO,28/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-28,2024,3
ATLÁNTICO,BARRANQUILLA,08001000,ARMA BLANCA / CORTOPUNZANTE,28/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-28,2024,3
ATLÁNTICO,GALAPA,08296000,ARMA BLANCA / CORTOPUNZANTE,28/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-28,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,ARMA BLANCA / CORTOPUNZANTE,28/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,2,2024-03-28,2024,3
HUILA,NEIVA,41001000,ARMA BLANCA / CORTOPUNZANTE,28/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-28,2024,3
META,VILLAVICENCIO,50001000,ARMA BLANCA / CORTOPUNZANTE,28/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-28,2024,3
VALLE,CALI,76001000,ARMA BLANCA / CORTOPUNZANTE,28/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-28,2024,3
